Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United Arab Emirates,ARE,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,42.71431355,44.10926063,45.66454187,47.42048075,49.42076767,51.65624263,54.16116465,56.96380431,57.16586604,55.7424949,54.78657023,54.85134088,55.75505648,57.35008357,59.61073675,62.51688462,62.85696143,60.88594504,59.65344106,59.0735669,59.19423933,58.99652784,58.40428957,57.93012447,57.61386071,57.45366558,56.83071457,55.84605456,55.12950494,54.63629565,54.35489074,54.26320577,54.35295107,54.60561944,55.03159263,55.60278029,55.88200883,55.8899669,56.10058436,56.49408906,57.06256433,57.78351444,58.6719983,59.72002204,60.93159133,60.72053844,56.81765944,50.84069745,45.83440232,42.99318223,43.47024931,45.46718125,47.58849108,49.82627096,52.19838815,54.71153144,57.37724147,60.2035818,63.19274841,64.20199971,65.09767274,65.88198047
Australia,AUS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,54.19994615,54.61527235,54.66223236,54.99893151,55.31792782,55.63934844,55.79005236,57.71173828,59.4116829,60.96052353,62.63852243,63.45899358,63.10311907,62.94321375,62.16038038,62.19234147,62.36882349,62.30374154,62.21857501,62.18616508,62.07028315,61.74323171,61.48747449,61.45855854,61.53578147,61.53163175,61.46039386,61.43013651,61.33227931,61.19907465,61.19923038,61.32572855,61.29230343,61.39987461,61.46502861,61.43933629,61.35338246,60.82354391,60.35199411,59.8279718,59.28080496,58.66008505,58.73867478,58.81174725,58.93550816,58.97188381,58.93437503,59.02904806,59.0211424,58.9777644,59.23583465,59.5951777,59.68724961,59.79226422,60.03789197,60.31729516,60.52645318,60.68201359,60.93075068,60.95720885,61.11123519,61.91719513
Belgium,BEL,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,25.10237353,25.15838504,25.19420149,25.13806047,25.03240257,24.93639094,24.8988041,24.89081766,24.92369076,24.98375498,25.0904221,25.16654844,25.18029083,25.21314511,25.24623637,25.28589795,25.35377314,25.43557417,25.52555843,25.61675613,25.70324372,25.80234957,25.87535103,25.94356259,26.01037282,26.06902726,26.12636629,26.17085877,26.15459381,26.12631478,26.11513017,26.08481835,26.04574264,26.0104765,25.99676955,26.0170087,26.14236386,26.25563966,26.3772115,26.49524726,26.61055969,26.69883158,26.75975548,26.8288292,26.89457974,26.92842958,26.93310876,26.91771836,26.88765882,26.85326615,26.78997715,26.62357052,26.63923755,26.69416036,26.75683601,26.78338216,26.82987184,26.90854052,26.96862201,27.00496476,27.06791047,27.11389644
Bangladesh,BGD,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,1.721985103,1.77157661,1.882648203,2.000917884,2.127424715,2.262075903,2.406590503,2.560022715,2.724335085,2.902480256,3.104803451,3.364824113,3.641211215,3.895015938,4.137910547,4.334441829,4.548047082,4.769289092,4.997810832,5.238698405,5.487316687,5.719942407,5.919215303,6.125011502,6.344483115,6.580891302,6.840046375,7.121235715,7.420936413,7.736286366,8.066926264,8.378872705,8.595677468,8.810924458,9.031575353,9.262584103,9.510956693,9.761554043,10.0106183,10.26215381,10.52176867,10.72972208,10.87235792,11.02967135,11.19980243,11.38835643,11.61675089,11.86914985,12.14790737,12.43360278,12.69388262,12.95012572,13.20883377,13.47008328,13.73997148,14.02352658,14.30781789,14.59568541,14.90308904,15.2239972,15.54505804,15.86823093
Canada,CAN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,30.09835195,30.77800887,31.3091544,31.85379139,32.40763777,32.99853135,33.58278132,34.11826377,34.730457,35.44214856,36.15845526,36.26046533,36.30685435,36.33192255,36.29706354,36.24164255,36.24389163,36.32926341,36.48388323,36.64598424,36.70408396,36.79660869,37.03489063,37.3531796,37.69538416,38.05378786,38.40278636,38.79523119,39.20228494,39.4153511,39.74547019,40.15968659,40.27822306,40.43171141,40.59011685,40.77582481,40.96303175,41.1862483,41.48095917,41.78639351,42.04664839,42.24730796,42.48330178,42.80065104,43.10818297,43.41148191,43.69113008,44.00108547,44.26543979,44.50381138,44.75856986,45.05403542,45.17546152,45.3103664,45.47144002,45.75307143,45.86161803,45.94123841,45.92480891,45.77308774,45.74502374,45.98645959
China,CHN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,8.122740192,8.440785668,8.528797332,8.474297816,8.449381618,8.445994113,8.360824585,8.249529123,8.134052756,8.006929682,7.87981132,7.789648855,7.754386506,7.734556206,7.734079191,7.759142182,7.800977345,7.875047883,7.969584329,8.081010831,8.202999485,8.33698446,8.462037913,8.65823338,8.876016782,9.099801244,9.324563316,9.549763061,9.787155215,10.04579833,10.32887917,10.77382454,11.26575903,11.79978743,12.37649507,13.0027278,13.68463266,14.4231629,15.2348891,16.13265607,17.12694732,17.79221913,18.2966462,18.82801676,19.38526837,19.96228124,20.56777151,21.20194175,21.86338398,22.55125881,23.27010133,23.85703435,24.35635502,24.87091642,25.40534289,25.96263215,26.52546228,27.07959834,27.68816041,28.34150475,29.03499809,29.76998435
Germany,DEU,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,9.502961619,9.513149729,9.451994456,9.387441259,9.335200802,9.27931165,9.226086562,9.208437915,9.192601153,9.145416612,9.136327183,9.09652468,9.030563977,8.980200659,8.955148637,8.967405998,8.985068987,8.985020103,8.972828396,8.949308396,8.911671864,8.879340447,8.853229925,8.824566244,8.7987204,8.795635155,8.822513554,9.091414791,8.981991454,9.075171512,9.100166632,9.104058625,9.09901467,9.098557066,9.076065737,9.0398325,8.99349594,8.933786138,8.867537763,8.829962903,8.830312418,8.856997745,8.871872374,8.881698898,8.893958597,8.926451552,8.998495213,9.075252522,9.146124867,9.218439964,9.277796317,9.497813285,9.529089929,9.55469427,9.566812583,9.540494953,9.524489096,9.550086271,9.583031253,9.600163248,9.630831067,9.661285956
Spain,ESP,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,15.95622722,16.3684898,16.82509564,17.30195988,17.77258168,18.23743114,18.72705037,19.1902095,19.65077664,20.18539547,20.70975936,20.97935718,21.02435382,21.0689793,21.11716354,21.16832085,21.2256514,21.28873265,21.36702236,21.46351851,21.57828651,21.64913235,21.61695995,21.60936195,21.61752756,21.6369446,21.67036538,21.71248589,21.7651876,21.82988956,21.90703543,21.99000749,22.10000157,22.20386379,22.3182935,22.44142277,22.57146504,22.70136478,22.83384575,22.96937805,23.09669545,23.16712742,23.1331682,23.03902244,22.96475493,22.89812042,22.83189893,22.72930943,22.68556808,22.80227404,23.01772057,23.25963562,23.5729118,23.98346462,24.39416705,24.75704724,25.0846559,25.3784691,25.62355663,25.67139036,25.763539,25.92675008
France,FRA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,21.5610391,21.74560465,21.88011433,21.90930974,21.92693942,21.9453494,21.97411324,22.01388596,22.0496499,22.05409067,22.06238962,22.06831083,22.07980685,22.10778484,22.15992062,22.21031034,22.23226095,22.2532158,22.2720122,22.29080932,22.29827113,22.2989655,22.30581096,22.33600242,22.37343609,22.40714403,22.44092445,22.47271916,22.50519817,22.54227475,22.56464031,22.45207653,22.4256275,22.41322674,22.414521,22.41814363,22.42338926,22.42848851,22.43048046,22.42210073,22.42246499,22.41290276,22.40376856,22.39879487,22.38857467,22.37467497,22.37362577,22.38991735,22.4196958,22.45256474,22.49027938,22.49803899,22.50573237,22.50581946,22.51698925,22.55361191,22.61107021,22.66275511,22.69910362,22.74116575,22.80237765,22.86946001
United Kingdom,GBR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,31.41587786,31.14956818,30.73216526,30.35141473,30.00522407,29.66631921,29.35840691,29.05800676,28.77598408,28.51791114,28.26738288,28.00152168,27.70398137,27.4509829,27.23625481,27.04306564,26.85639827,26.67454979,26.48433255,26.27408551,26.05827097,25.91435601,25.92751017,25.92284168,25.88633221,25.83242046,25.77773667,25.72836016,25.676978,25.61619222,25.54600119,25.54021995,25.55923628,25.58625195,25.60999603,25.63158846,25.65624465,25.68030045,25.69617653,25.70164314,25.70146522,25.70808536,25.76059223,25.80234064,25.8177561,25.80241527,25.77487698,25.85986313,25.94399388,26.03621411,26.12261201,26.20969158,26.29891124,26.39491321,26.47444213,26.53984409,26.61543822,26.71268361,26.83045848,26.9586882,27.13727583,27.30680068
India,IND,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,7.629439769,7.707028469,7.79080175,7.876721265,7.965644919,8.06119227,8.166178456,8.275561324,8.384596468,8.492511489,8.60282405,8.716051692,8.834283864,8.952654433,9.074011672,9.200472131,9.333604181,9.469526617,9.609293117,9.751966927,9.895484381,10.02371153,10.12343816,10.22613118,10.33170304,10.44074508,10.55465775,10.67430793,10.80062844,10.93105255,11.06868727,11.19862627,11.30356571,11.41330533,11.52947224,11.65200943,11.78296055,11.92009993,12.06510382,12.21851796,12.37980201,12.51515144,12.59682751,12.68775373,12.78844269,12.90003975,13.02561492,13.1622473,13.3088857,13.46272118,13.62301544,13.78982998,13.96524876,14.15031423,14.34860776,14.55996809,14.77755019,15.00557032,15.25033388,15.48532782,15.73275654,16.00542642
